Date,A,B,C
2023-09-30,20.200,21.306,12.668
2023-10-31,20.137,20.999,12.684
2023-11-30,20.697,21.870,12.702
2023-12-31,21.172,22.419,12.721
2024-01-31,21.211,22.553,12.743
2024-02-29,21.224,22.952,12.764
2024-03-31,21.526,23.458,12.787
2024-04-30,21.349,23.194,12.810
2024-05-31,21.490,23.524,12.834
2024-06-30,21.489,23.702,12.858
2024-07-31,21.753,23.874,12.882
2024-08-31,21.816,23.971,12.905
2024-09-30,22.090,24.347,12.928
2024-10-31,21.872,24.078,12.952
2024-11-30,22.308,24.609,12.975
2024-12-31,22.111,24.475,12.999
2025-01-31,22.306,24.925,13.022
2025-02-28,22.408,24.957,13.043
2025-03-31,22.034,24.257,13.065
2025-04-30,22.240,24.258,13.087
2025-05-31,22.521,24.959,13.109
2025-06-30,22.597,25.184,13.130
2025-07-31,22.646,25.432,13.152
2025-08-31,22.634,25.531,13.173
